,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0,16095.618542685674,2793.736650242147
1,36207.79156629727,31415.66506019315
2,27773.54339833497,14752.666312962416
3,13911.764008302118,5815.460467993693
4,45533.84007338079,15787.909325275497
5,16699.81518176523,2023.355080520855
6,35445.76263268268,22223.46074965468
7,16601.98004515279,3313.575461403641
8,29375.37955287103,1316.6214359417747
9,39130.76622508863,30884.89105900722
10,48429.314543124354,36321.98725115553
11,11377.101106065376,9711.277798698258
12,11950.797366201014,7240.557993177839
13,42385.241822401695,14896.895313284671
14,10282.224833975706,2852.364802373142
15,27275.536585578557,4104.276901170334
16,23084.795510683885,11882.685876549915
17,34016.35780217614,11892.53979657193
18,19709.723427546494,10387.254413208617
19,43139.73419627722,19140.945192767307
20,19410.66656790141,31669.052810759305
21,4827.781343837012,2307.062115154752
22,19792.306104687057,5660.573651647624
23,277.4002457949555,1036.1774873151687
24,57135.33402167651,0.0
25,9833.734482504784,7742.699271299794
26,22370.92666540175,0.0
27,37560.388899463294,35940.165800302406
28,27773.116638349744,126.54537288274489
29,50153.80345341354,10204.988972801375
30,30965.182807823738,50931.09426379718
31,29089.40158277308,0.0
32,19496.326924935398,12277.087157431139
33,24034.487887800573,1.640537468665512
34,39957.05710647811,37568.20379394
35,5782.689566773103,21583.969888225845
36,37197.0838320428,8582.12885017536
37,1561.6658049269788,256.90058537400233
38,27757.964818874378,74383.63711619805
39,28343.50136860004,36680.361471956254
40,27304.223194585276,12443.893017803839
41,22109.170744465104,15867.897675454216
42,30779.286134260463,2776.1267672028002
43,40222.26089729538,29355.536765590135
44,43501.39855375452,17793.32811975628
45,14700.118491005169,20.270426785290947
46,63733.77368320408,44975.750000490945
47,28137.26077574117,31329.525810000683
48,409.53535201974853,224.85358120239852
49,15843.140861427766,3090.8005579058877
50,30649.76274874524,13285.461039684184
51,14323.299734052602,2785.453724223639
52,5751.866679840352,10382.317763197589
53,14021.719664494876,4862.508453864479
54,36623.454061904864,1019.9371832788826
55,33083.45665447804,1131.4700505280844
56,65688.74819551267,0.04736650810583269
57,44513.94383869492,25790.551877624763
58,21929.555060684335,13965.673591204006
59,43716.38763631049,43015.5059461111
60,65678.803845857,55299.46038355758
61,12159.949938959062,302.04027867485945
62,34794.152175244846,30183.838337440837
63,42770.75970905305,70663.12388788516
64,50417.42902428544,21.640583518352337
65,23407.77703950058,2771.950298193468
66,18023.281325939926,21698.35542848142
67,40275.734735443846,30397.351497917905
68,35278.01112849112,5606.530370526873
69,7416.530358201008,9058.267592239214
70,27419.33942059935,12987.233439017844
71,49806.33175544482,28665.37153404807
72,21992.89871849105,7270.913914245665
73,32275.656552448305,14.12978178157068
74,3212.7138667590766,1180.8266676383637
75,26485.90619291968,14853.40877318751
76,12425.833149752798,38266.11478549936
77,11928.348086978327,0.0
78,32012.937521544998,8156.447908224246
79,12312.128583689842,11082.74215476257
80,50717.852023883235,40350.792040157234
81,21741.560207193703,26757.080809784315
82,0.0,0.0
83,5900.290910701132,0.0
84,12710.428619898616,5371.437510001597
85,38248.30068564419,16456.51211676938
86,10998.403219177873,5534.526403365991
87,30379.477638103905,56459.03258614845
88,20581.528157360066,11990.46183679072
89,21655.341390179048,20458.272805710654
90,46383.83021394969,0.0
91,10147.336578646242,2361.120102275536
92,27912.188013534356,24125.342143904123
93,14770.314488574617,11482.604195655998
94,41472.89036399205,65226.55101573803
95,42192.491819075716,451.9402463097863
96,27825.962886519927,11449.567505582181
97,33599.08998662413,21164.10478728772
