"","subwatershed","area","perimeter","circulatory_ratio","relief","avg_slope","watershed_length","elongation_ratio","drainage_density","shape_factor","relief_ratio","ruggedness","aae_area","buildings_aae_count","x_area","buildings_x_count","water_bodies_area","dams_count","bridges_count","streets_km","railroads_km","population","population_density","avg_median_income","housing_density","population_change","dependent_population_pct","dist_to_stream_avg..m.","dist_to_stream_stdev..m.","lu_22_area","lu_23_area","lu_24_area","lu_41_area","lu_82_area","avg_impervious_percent","orb100yr06h","orb100yr12h","orb100yr24h","orb25yr06h","orb25yr12h","orb25yr24h","orb2yr06h","orb2yr12h","orb2yr24h","orb50yr06h","orb50yr12h","orb50yr24h","orb100yr06ha_am","orb100yr12ha_am","orb100yr24ha_am","orb25yr06ha_am","orb25yr12ha_am","orb25yr24ha_am","orb2yr06ha_am","orb2yr12ha_am","orb2yr24ha_am","orb50yr06ha_am","orb50yr12ha_am","orb50yr24ha_am","File"
"1446",51201060405,41.37939265,47.79491356,0.227630585,24,1.079261184,3.864981002,1.878018005,0.753282729,0.361002837,0.006209604,0.018078785,3.186168749,7,0,0,0.566898343,0,3,81.20647569,4.128733117,11752,284.0061018,54329,14.35497145,218,42.4,619.2023257,411.5286799,0.933953855,0.139808332,0.065550144,2.344424833,29.847003,1.347949028,4778,5426,6057,3691,4198,4763,2069,2374,2763,4216,4793,5396,4758,5404,6032,3676,4181,4743,1905,2185,2544,4199,4773,5374,"IN_subwatershed_data_885_1070.csv"
"1447",51201060304,52.43269706,34.49380332,0.553770602,17,0.842688382,6.404653805,1.275735082,0.443021392,0.782328445,0.00265432,0.007531364,1.158451498,4,0,0,0.093483136,0,0,115.8851476,6.125410121,14315,273.0166633,56664,13.65560118,37,41.6,1051.68829,519.7206487,1.794473635,0.375459013,0.086488801,1.780639261,44.29808555,2.005800962,4748,5393,6007,3665,4168,4724,2053,2354,2737,4188,4760,5352,4729,5371,5982,3650,4151,4705,1890,2167,2520,4171,4740,5330,"IN_subwatershed_data_885_1070.csv"
"1448",51202090201,94.9925992,54.23883731,0.405769026,99.54951034,6.037013054,2.84331696,3.86789494,1.607970754,0.085106118,0.035011753,0.160072701,9.48921123,23,0,0,0.989865924,7,17,115.1358238,0,10142,106.7662122,62467.5,9.779709239,-610,38.1,243.0866249,154.1520923,0.3689103,0.1111019,0.023598826,32.91478831,27.07619513,0.434860468,5035,5829,7022,3940,4606,5534,2272,2694,3219,4471,5203,6261,5014,5805,6993,3924,4587,5511,2092,2480,2964,4453,5182,6235,"IN_subwatershed_data_885_1070.csv"
"1449",51202090402,88.56670778,68.3018703,0.238569639,121.9249732,6.870621681,2.552596756,4.160141446,1.623685202,0.073568843,0.047765074,0.197967775,10.310296,56,0,0,0.399635938,2,11,100.4528117,7.923635237,17477,197.3314854,56137.75,7.779446897,-703,39.35,191.5247571,137.7711829,0.249875611,0.139802105,0.079903961,50.64670832,14.9237227,0.439117849,5069,5837,7017,3966,4614,5540,2285,2700,3231,4501,5211,6261,5048,5813,6988,3950,4595,5517,2104,2486,2975,4482,5190,6235,"IN_subwatershed_data_885_1070.csv"
"1450",51201080604,60.01947934,44.81130415,0.375601156,85,2.416901112,3.526491239,2.478896315,1.572525172,0.207201738,0.024103278,0.13366464,4.682326175,5,0,0,0.299397712,0,7,78.58407817,6.31776192,10244,170.6779218,57543,6.164665273,-100,41.56666667,359.8073895,204.4180487,1.347442727,0.116474796,0.078765224,13.8652005,34.62253465,1.226488948,5054,5702,6621,3910,4456,5137,2243,2601,2961,4458,5058,5854,5033,5679,6594,3894,4438,5116,2065,2395,2726,4440,5037,5830,"IN_subwatershed_data_885_1070.csv"
"1451",71200011005,74.84334243,82.62156746,0.137776827,58,0.45318079,14.34147673,0.680671825,1.141449599,2.748112898,0.004044214,0.066204077,4.830751199,10,0.050592719,0,0.049951232,0,6,89.62505295,20.11283138,19908,265.995603,75424.25,3.407116675,287,39.775,403.3568547,242.6378381,1.056945678,0.151210845,0,1.503514256,68.32501609,0.70744282,5187,5882,6984,3904,4454,5293,2098,2432,2840,4531,5153,6107,5166,5858,6956,3888,4436,5271,1931,2239,2615,4512,5132,6082,"IN_subwatershed_data_885_1070.csv"
"1452",71200011304,42.95039163,45.42722159,0.261543928,40,1.005020857,3.809038461,1.941436836,1.049009216,0.337803066,0.010501338,0.041960369,16.00186302,21,0.624819903,8,0.374164736,0,3,53.03625376,4.10024259,13700,318.9726445,69725.33333,9.499331309,-42,40.83333333,1359.289324,1147.447355,1.155669311,0.176250872,0.0018,0.665778315,37.81253632,1.263699412,5337,6067,7595,3933,4510,5733,2132,2491,3061,4642,5299,6626,5315,6042,7564,3917,4491,5710,1963,2293,2818,4623,5277,6599,"IN_subwatershed_data_885_1070.csv"
"1453",51401010905,50.81644336,40.30352869,0.393122577,135,12.3956461,3.835503145,2.097175855,1.737891674,0.289494569,0.035197468,0.234615376,8.040771419,46,0,0,0.578151691,1,8,40.86718572,0,13433,264.343569,70403.66667,8.894758667,-149,38.9,254.265802,132.731921,0.102001435,0.016998287,0.001799998,37.72537441,1.157907168,0.628258705,4879,5683,6882,3804,4457,5355,2214,2617,3108,4325,5051,6095,4859,5660,6854,3788,4439,5333,2038,2409,2861,4307,5030,6070,"IN_subwatershed_data_885_1070.csv"
"1454",50800030705,53.59239193,41.74540357,0.386452105,0,0,3.02902948,2.727112975,1.16517355,0.171200039,0,0,2.322159348,22,0.106686775,9,0.159782854,0,14,109.2846515,13.9046271,15429,287.895342,47392.4,35.91927755,-806,40.9,304.928098,233.5555863,2.630255459,0.868165841,0.482011977,6.966065718,35.53858694,3.887077093,4082,4689,5503,3319,3847,4507,2023,2379,2784,3699,4269,5002,4065,4670,5480,3305,3831,4488,1862,2190,2563,3684,4251,4981,"IN_subwatershed_data_885_1070.csv"
"1455",51202080303,52.65367144,50.24190154,0.262123759,94,3.855309725,3.901871114,2.09843958,0.352323272,0.289145994,0.024091006,0.033118388,0.588008612,0,0,0,0.239559862,1,3,71.92687109,10.54094882,17647,335.1523174,55783,8.907261112,952,41.83333333,2001.91284,1338.51839,0.234209294,0.015592219,9e-04,12.97968659,18.86815579,0.382366002,5137,5841,6901,3964,4572,5447,2241,2642,3178,4530,5188,6157,5116,5817,6873,3948,4553,5425,2063,2432,2926,4511,5167,6132,"IN_subwatershed_data_885_1070.csv"
