,observed,expected
0,344.09885,0.16616924932887978
1,1134.0455,2620.7309639330942
2,7891.393,3820.4327887235863
3,2372.2046,4114.666934079772
4,1977.1611,6965.683124303623
5,966.2146,366.79434034508245
6,559.347,148.03725457098807
7,1091.8275,148.50677380822128
8,2278.4114,3100.3699335454476
9,1077.932,80.95437950503323
10,432.43604,23.5504926666585
11,1058.7003,1219.7387444875374
12,827.82,810.7917857077002
13,4241.3247,940.6681100323625
14,776.24176,8.004970709440467
15,534.9917,-0.6427331747766278
16,1720.6891,245.40782026023373
17,1172.1879,2.5606280013426064
18,1012.19116,9.7853812616867
19,1382.721,4546.152891550391
20,1815.2062,879.6691546488601
21,1129.9944,747.8570316846352
22,1486.6129,1552.679921757073
23,518.3169,5.50139191284507
24,817.75024,45.51431180357694
25,1502.8169,1815.9988985096627
26,520.88696,728.8691208635439
27,539.2769,439.1852846393509
28,1562.7771,968.0216875905079
29,1195.1598,1298.459976119444
30,1672.1083,-0.6427331747766278
31,1140.0701,1849.8090084536452
32,1174.9409,215.86299436740353
33,1503.3418,1422.1637031058538
34,1177.3995,954.9960109927279
35,1456.1805,424.40117228905694
36,1688.3063,1370.0957273785014
37,1802.7584,2199.914857811272
38,2063.434,1954.5719438215424
39,1495.5865,1148.9680116178051
40,1034.325,-0.6427331747766278
41,2231.8625,37.93012555766578
42,555.92224,16.53590994501845
43,230.45709,-0.6427331747766278
44,1738.2914,869.4932103107278
45,1159.7924,863.3781139588554
46,461.3575,379.4117792107693
47,1018.5636,3871.426768976753
48,275.86926,-0.4579068255980351
49,1076.2245,1481.2473689931578
50,1591.3267,413.88174913237407
51,1469.1549,660.3925369828361
52,742.89087,459.10883884023
53,1706.8187,3241.0685862005375
54,3698.3643,2387.013239362126
55,1355.3735,294.09056084872293
56,924.8396,-0.6427331747766278
57,1591.3574,-0.6427331747766278
58,563.1996,697.480698880487
59,1656.5054,2554.543738216381
60,1289.2561,912.22394066864
61,1076.0074,3183.529367821142
62,1117.041,824.5370210736296
63,1472.3601,1998.5874071990231
64,964.69653,2276.7101349152804
65,761.1311,8.598960668506333
66,297.7768,-0.6427331747766278
67,1683.4261,2411.7989668538175
